word,definition,translation
zoonosology,,[医] 动物疾病分类学
zoonotic,a. of or relating to or constituting zoonosis,[医] 动物传染病的
zoonotic disease,,[网络] 人畜共患病；动物传染病；人畜共患疾病
zoonotic erysipelas,,[医] 类丹毒
zoons,,发育完全的个体( zoon的第三人称单数 )
zoonule,n. Same as Zoonite., 体节
zoop,,噪声调整的特种型式
zoopaleontology,,n. 古代动物学
zooparasite,,n. 寄生动物\n[医] 寄生动物
zooparasitic,,[医] 寄生动物的
zooparasitic cirrhosis,,[医] 寄生物性硬变
zoopathology,n. Animal pathology.,n. 动物病理学\n[医] 动物病理学
zooperal,,[医] 动物实验的
zoopery,,动物实验
zoophaga,n. pl. An artificial group comprising various carnivorous\n   and insectivorous animals.,[pl.][动]食肉动物
zoophagan,n. A animal that feeds on animal food.,[动]食肉动物
Zoophagineae,,[医] 动物病毒亚目(病毒目)
zoophagous,s (of animals) carnivorous,"a. 食肉的\n[医] 食动物的, 食肉的"
zoopharmacology,,"[医] 动物药理学, 兽医药理学"
zoopharmacy,,n. 动物药剂学
zoophil psychosis,,"[医] 嗜动物精神病, 溺爱动物[性]精神病"
zoophile,,"n. 爱护动物者\n[医] 嗜动物(血)的(蚊); 嗜动物癖者, 反对(动物)活体解剖者"
zoophilia,n a sexual attraction to animals,"n. [精神病] 嗜兽癖, 动物爱好"
zoophilic,,a. 爱护动物的\n[医] 嗜动物(血)的蚊
zoophilism,n a sexual attraction to animals,"n. [精神病] 嗜兽癖, 动物爱好"
zoophilist,n. A lover of animals.,n. 爱护动物者
zoophilite,,(=zoophilist)爱护动物者
zoophilous,,"a. 适于动物传粉的, 酷爱动物的\n[医] 嗜动物(血)的(蚊)"
zoophily,n. Love of animals.,"n. [精神病] 嗜兽癖, 动物爱好"
zoophobia,n. a morbid fear of animals,"n. 动物恐怖(症), 对动物的恐惧\n[医] 动物恐怖"
zoophoric,"a. Bearing or supporting the figure of an animal; as, a\n   zoophoric column.",a. 具有动物形(像)的
zoophorus,,n. ( 古建筑挑檐腰线上的) 人形( 或兽形) 装饰
zoophysics,,n. 动物物理学
zoophysiology,,n. 动物生理学
zoophyta,"n. pl. An extensive artificial and heterogeneous group of\n   animals, formerly adopted by many zoologists. It included the\n   c/lenterates, echinoderms, sponges, Bryozoa, Protozoa, etc.", 植形动物类
zoophyte,n. any of various invertebrate animals resembling a plant such as a sea anemone or coral or sponge,"n. 植形动物\n[医] 植虫, 植物样动物(如海绵)"
zoophytes,n. any of various invertebrate animals resembling a plant such as a sea anemone or coral or sponge,植物形动物
zoophytic,a. Alt. of Zoophytical,a. 植形动物的
zoophytical,a. Of or pertaining to zoophytes.,a. zoophyte的变形
zoophytological,"a. Of or pertaining to zoophytology; as,\n   zoophytological observations.",a. zoophytology的变形
zoophytologist,,n. 研究植物形动物的学者
zoophytology,n. The natural history zoophytes.,n. 植形动物学
zooplankter,,n. 浮游动物
zooplankton,n. animal constituent of plankton; mainly small crustaceans and fish larvae,[医] 浮游动物
zooplanktonic,,a. zooplankton的变形
zooplastic,,a. 动物组织移植术的
zooplastic graft,,[医] 动物[质]移植物(取自动物)
zooplasty,,"n. 动物组织形成术, 动物组织移植术\n[医] 动物组织成形术, 动物组织移植术"
zoopraxiscope,"n. An instrument similar to, or the same as, the, the\n   phenakistoscope, by means of which pictures projected upon a screen are\n   made to exhibit the natural movements of animals, and the like.",n. 走马灯; 动物实验镜
zooprecipitin,,[医] 动物沉淀素
zooprophylaxis,,"[免疫]动物预防, 动物病预防"
zoopsia,n visual hallucination of animals; sometimes occurring in delirium tremens,[医] 动物幻视
zoopsychology,n. Animal psychology.,n. 动物心理学\n[医] 动物心理学
zoorium,,群体形成
zoos,n. the facility where wild animals are housed for exhibition,n. 动物园( zoo的复数形式 )
zooscopy,,动物幻视
zoosemiotics,,n. 动物符号学
zoosensitinogen,,[医] 动物过敏原
zoosis,,"[医] 动物性病, 动物原病"
zoosmosis,,原浆渗透(作用)
zoosperm,n. One of the spermatic particles; spermatozoid.,"n. 游动精子, 游动孢子\n[医] 精子"
zoospermatic,,"a. 精虫的, 精子的"
zoospermia,,(精液内)活精子存在
zoosphere,,[生态]动物圈
Zoospirochaetaceae,,[医] 动物螺旋体科
zoosporangium,"n. A spore, or conceptacle containing zoospores.",n. [植]游动的孢子囊
zoospore,n. an asexual spore of some algae and fungi that moves by means of flagella,n. 游动孢子\n[医] 游动孢子
zoosporic,a. Of or pertaining to zoospores; of the nature of\n   zoospores.,a. zoospore的变形
zoosporiferous,,产游动孢子的
zoosporocyst,,游动孢子囊
zoosteroid,,[医] 动物甾类
zoosterol,,"n. 动物甾醇, 动物固醇\n[化] 动物甾醇"
zoosuccivorous,,"食腐尸的, 吮动物液的"
zoot,,n. =zoot suit[缩略]
zoot suit,,n. 阻特装
zoot-suiter,,n. 穿佐特套服的男子
zootaxy,,n. 动物分类学
zootch,"a private school girl who tries to be a slut and a partier. Zootches will typically tell you how they got ""raped"" when a guys hand was getting close to her no-no area. these girls never shave their pubes because they will never jam out with their clam out anyway. they will throw parties and fake drunk after 2 shots and almost puke. they will also make the argument that energy drinks get you just as fucked up as alcohol does.\n> desperate guy: dude im gonna hook up with that new chic from school tonight\n> a real bro: you might as well crucify your ballsack cuz you aint gettin shit from that zootch\n",
zootechnical,,a. 畜牧学的
zootechnics,,"n. (=zootechny)动物饲养学, 畜牧学"
zootechny,,"n. 动物饲养学, 畜牧学"
Zooted,,n. = zoot suit
zootheism,,"n. 动物崇拜(主义), 动物神教"
zootherapeutics,,"[医] 动物治疗学, 兽医治疗学"
zootherapy,,兽医治疗学
zootic,a. Containing the remains of organized bodies; -- said of rock\n   or soil.,低等动物的
zootic erysipelas,,[医] 类丹毒
zootomic,,"a. 动物解剖学, 动物解剖"
zootomical,a. Of or pertaining to zootomy.,"a. 动物解剖学, 动物解剖"
zootomist,"n. One who dissects animals, or is skilled in zootomy.",n. 动物解剖学者\n[医] 比较解剖学家
zootomy,n. The dissection or the anatomy of animals; -- distinguished\n   from androtomy.,"n. 动物解剖学, 动物解剖\n[医] 比较解剖学, 动物解剖学; 动物解剖"
zootope,,动物生境
zootoxin,n a toxin resembling bacterial toxins in its antigenic properties that is found in the fluids of certain animals,n. 动物性毒素\n[医] 动物毒素
zootransplant,,[医] 动物组织移植片
zootrophic,a. Of or pertaining to the nourishment of animals.,动物(细胞内寄生)营养的
zootrophotoxism,,"[医] 动物性食物中毒, 兽肉中毒"
zooty,,"a. 穿佐特套服的, 样式俗艳的, 过于华丽的"
zootype,,动物模式
zooxanthella,,"n. [生]动物黄藻,虫黄藻"
zooxanthellae,,虫黄藻
zoozygospore,,动接合孢子
Zopaque,,二氧化钛
Zopfius,,[医] 库(尔特)氏杆菌属
Zopfius zenkeri,,[医] 岑克尔氏库(尔特)氏杆菌
zophar,, [人名] 琐法（《圣经》中的人物）
zopiclone,,[化] 佐匹克隆
zopilote,"n. The urubu, or American black vulture.", [地名] [洪都拉斯、墨西哥] 索皮洛特
zopp,,abbr. zero-order polynomial predictor 逆序多项式预报器
zopplolo,,一种克罗地亚无甲板渔船
zora,,n. 卓拉（人名）
zoran,,n. 美国卓然公司
Zorana,,n. 佐拉娜(f.)
Zoraptera,,缺翅目
zorba,,abbr. Zorba the Greek 希腊左巴
zorbing,, 滚人球运动（人在大型透明塑料球中沿地面或山坡翻滚）
zore,, 佐尼
zoretich,, [人名] 佐尔蒂奇
Zorgasm,"A religious epiphany, usually a vision or encounter with Zorgoth. In some cases, Cultiks have claimed to actually communicating with Zorgoth during a zorgasm.\n> The Duke tossed and turned, fearing that any second now his intelectual metropolis would be toppled by the barbaric Nairboians - when suddenly his nightmare was ended. There in the window appeared Zorgoth, in the form of a goat. Very few people have been blessed with such a [zorgasm], but this spiritual enlightenment would set in a series of events from which Kenya would never be the same again.\n> -The Doctrine of Zorgoth: Book IV\n> www.thenr.net/zorgoth\n",
zori,n a sandal attached to the foot by a thong over the toes,"n. (日本的)草鞋, 便鞋"
zoril,n. muishond of northern Africa,n. 非洲艾虎
zorilla,n. Either one of two species of small African carnivores of\n   the genus Ictonyx allied to the weasels and skunks., [医]非洲艾鼬
zorille,,n. (=zoril.)(南非的)臭鼬动物
zorinsky,, [人名] 佐林斯基
zorita,, [地名] [西班牙] 索里塔
Zorite,,佐赖特耐热镍铬合金钢
Zorlax,,由 50A颗粒硅胶组成的珠形载体
Zorn,,佐恩（人名）
zoroaster,n. Persian prophet who founded Zoroastrianism (circa 628-551 BC),"n. 琐罗亚斯德, 古代波斯国国教拜火教之祖"
zoroastrainism,,n. 拜火教
Zoroastrian,n. follower of Zoroaster and Zoroastrianism\na. of or pertaining to Zoroaster or the religion he founded,a. 与索罗亚斯德教有关的\nn. 索罗亚斯德教的教徒
Zoroastrianism,n system of religion founded in Persia in the 6th century BC by Zoroaster; set forth in the Zend-Avesta; based on concept of struggle between light (good) and dark (evil),"n. 索罗亚斯德教, 拜火教, 袄教, 火教, 火袄教, 明教"
Zoroastrians,plural of Zoroastrian\nn. follower of Zoroaster and Zoroastrianism\na. of or pertaining to Zoroaster or the religion he founded,(Zoroastrian 的复数) adj.与索罗亚斯德教有关的\nn. 索罗亚斯德教的教徒
Zorotypidae,,缺翅虫科
Zorpia,,n. 若比邻（一个大型社交类网站）
zorra,,佐拉草
zorro,,n. 佐罗（人名）；苏洛（电影名）
zorse,,雄马和雌斑马的杂交种
zorsite,,[矿]糟绿帘石
zorthian,, [人名] 佐西安
zorubicin,,[化] 佐柔比星; 柔红霉素苯腙
Zoser,,n. 左赛尔（古埃及第三王朝的法老）
Zosers,plural of Zoser,(Zoser 的复数) n. 左赛尔（古埃及第三王朝的法老）
zoso,"Zoso is not a word but rather, a symbol. The original symbol was used by Cardano in 1557, which he used as the magickal sigil for saturn, the planet that rules capricorn, Jimmy Page's Sign. Jimmy took this sybol and changed parts of it. The true meaning is one only known to him. In short it is an adapted occult symbol..\n> It is not a word. Therfore an example is pretty damn impossible..\n",
zossen,, [地名] [德国] 措森
zoster,n eruptions along a nerve path often accompanied by severe neuralgia,"n. 带状疱疹, 带\n[医] 带状疱疹"
zoster auricularis,,[医] 耳部带状疱疹
zoster brachialis,,[医] 臂部带状疱疹
zoster facialis,,[医] 面部带状疱疹
zoster femoralis,,[医] 股部带状疱疹
zoster frontalis,,[医] 额部带状疱疹
zoster haemorrhagicus,,[医] 出血性带状疱疹
zoster lingualis,,[医] 舌疱疹
zoster nuchae,,[医] 颈部带状疱疹
zoster ophthalmicus,,"[医] 眼神经区带状疱疹, 角膜疱疹"
zoster oticus,,[医] 耳部带状疱疹
zostera,"n. A genus of plants of the Naiadaceae, or Pondweed family.\n   Zostera marina is commonly known as sea wrack, and eelgrass.",大叶藻属
Zostera L.,,[医] 大叶藻属
Zostera marina,,[网络] 大叶藻；发酵单孢菌发酵产物提取物
Zostera marina L.,,[医] 大叶藻
Zosteraceae,n. used in some classifications: essentially equivalent to Potamogetonaceae,大叶藻科
zosteriform,,[医] 带状疱疹样的
zosteroid,,[医] 带状疱疹样的
Zosterophyllopsida,,二蕨纲
Zosterops,n. A genus of birds that comprises the white-eyes. See\n   White-eye.,"[动]绣眼儿属, [zosterops ] 绣眼儿属的鸟"
zostrix,, [医]辣椒辣素乳膏<局部镇痛药>
zot,,abbr. zonula occludens toxin 紧密连接毒素（来自霍乱弧菌）
zotheca,,"套间, 起居凹室"
zou,,n. 祖省；邹
Zouave,"n. One of an active and hardy body of soldiers in the French\n   service, originally Arabs, but now composed of Frenchmen who wear the\n   Arab dress.\nn. Hence, one of a body of soldiers who adopt the dress and\n   drill of the Zouaves, as was done by a number of volunteer regiments in\n   the army of the United States in the Civil War, 1861-65.",n. 轻步兵
Zouaves,"plural of Zouave\nn. One of an active and hardy body of soldiers in the French\n   service, originally Arabs, but now composed of Frenchmen who wear the\n   Arab dress.\nn. Hence, one of a body of soldiers who adopt the dress and\n   drill of the Zouaves, as was done by a number of volunteer regiments in\n   the army of the United States in the Civil War, 1861-65.",(Zouave 的复数) n.轻步兵
zouchios' test,,[医] 祖克罗斯氏试验(检尿白蛋白)
zouk,,n. （加勒比地区音乐和西方音乐融汇一体的节奏快速的）祖克乐
zounds,"interj. An exclamation formerly used as an oath, and an\n   expression of anger or wonder.",interj. (表示愤怒、惊讶)哎呀
zovirax,, [医]阿昔洛韦，无环鸟苷，开糖环鸟苷制剂的商品名
zowee,,"飞快发展的, 飞速的"
zowie,,"int. <美>好! 呦(表示激动,热情,赞叹等的感叹词)"
zoxazolamine,,氯苯恶唑胺(肌弛缓剂)
zoya,,n. (Zoya)人名；(俄)卓娅；(西)索亚
zoysia,n. any of several creeping grasses of the genus Zoysia,n. [植]结缕草
Zoysia japonica,,[网络] 结缕草；日本结缕草；草以日本芝
Zoysia matrella,,[网络] 沟叶结缕草；马尼拉芝；马尼拉芝草
Zoysia tenuifolia,,[网络] 台湾草；细叶结缕草；台北草
zp,,abbr. 锌羟基吡啶硫酮（Zinc pyrithione）；补零（Zero Padding）；透明带（zona pellucida）；零功率（zero power）；电势（zeta potential）
zpb,,abbr. zinc primary battery 锌源电池（组）; zoreportion of the byte (leftmost four bits of an eight-bit byte) 八位字节最左边的四位字节
zpd,,abbr. zero path difference 零（光）程差
zpe,,abbr. zero-point energy 初始能量起点能量，零点能量
ZPG,,[缩] zero population  growth
Zr,n a lustrous grey strong metallic element resembling titanium; it is used in nuclear reactors as a neutron absorber; it occurs in baddeleyite but is obtained chiefly from zircon,[医] 锆(40号元素)
Zranklinization,,[医] 静电疗法
zrm,,n. 自然码
zs,n the ending of a series or sequence\nn the 26th letter of the Roman alphabet,abbr. 零偏移（zero shift）；（英国）动物协会（ Zoological Society）
zsa,,abbr. zero-set amplifier 零位调整放大器
zsa zsa zsu,"Comes from ""Sex and the City"", where Carrie describes it as the feeling you get when you meet someone you really really like. That sort of lovey, butterflies feeling when you just want to be with someone.\n> Carrie: I met this new guy Berger, and I just get that zsa zsa zsu.\n",
zsg,,abbr. zero-speed generator 零速度发生器
Zsigmondy,n German chemist (born in Austria) honored for his research on colloidal solutions (1865-1929),"席格蒙迪(Richard, 1865-1929, 奥地利化学家, 曾获1925年诺贝尔化学奖)"
zsigmondy gold numger,,[建] 希格蒙迪金值
Zsigmondy's gold number method,,"[医] 希格蒙迪氏金值法(胶态金试验,检脑脊液球蛋白)"
Zsigmondy's gold number methods,,"[医] 希格尔蒙迪氏金值法(胶态金试验,检脑脊液球蛋白)"
Zsigmondy's gold number test,,"[医] 希格蒙迪氏金值试验, 胶态金试验(检脑脊液内球蛋白)"
Zsigmondy's movements,,"[医] 希格蒙迪氏运动, 布朗氏运动(分子运动)"
Zsigmondy's test,,"[医] 希格蒙迪氏试验, 胶态金试验(检脑脊液球蛋白)"
zt,,abbr. 区时（zone time）
zte,,abbr. 中兴通讯（公司名）
ztr,,"abbr. zircon, tourmaline and rutile 锆石，电气石和金红石"
zts,, [医][=zymosan-treated serum]酵母多糖处理血清
zu,n. evil storm god represented as a black bird,n. 巴比伦神话中的风雨神
zuba,,n. (Zuba)人名；(塞)祖巴
zuber,, [人名] 朱伯
Zuberella,,[医] 佐勃杆菌属(革兰氏阴性厌氧菌的一属)
zubieta,, [人名] 苏维塔; [地名] [西班牙] 苏维耶塔
zubr,n. The aurochs.,n. (Zubr)人名；(捷)祖布尔
zubrod,, [人名] 朱布罗德
zubrowka,,齐白露加酒
zucca,, [人名] 朱卡
zucchetto,,n. 圆顶小帽
zucchettos,,无边帽( zucchetto的名词复数 )
zucchini,n. marrow squash plant whose fruit are eaten when small\nn. small cucumber-shaped vegetable marrow; typically dark green,n. 绿皮密生西葫芦
zucchinis,,夏季产南瓜之一种( zucchini的名词复数 )；(US) N [C/U] 绿皮密生西葫芦 [英=courgette]
zuck,, [人名] 朱克
zucker,, [人名] 朱克
zuckerberg,,扎克伯格
zuckergussdarm,,"[医] 糖衣肠, 慢性纤维包围性腹膜炎"
Zuckerkandl's bodies,,[医] 祖克坎德耳氏体(主动脉副神经节)
Zuckerkandl's body,,"[医] 祖克坎德耳氏体, 主动脉旁体(副神经节)"
Zuckerkandl's convoiution,,[医] 祖克坎德尔氏回(胼骶下回)
Zuckerkandl's convolution,,[医] 胼骶下回
Zuckerkandl's dehiscences,,[医] 筛骨眶板裂开
Zuckerkandl's fascia,,[医] 祖克坎德耳氏筋膜(肾后筋膜)
Zuckerkandl's glnnds,,"[医] 祖克坎德耳氏腺, 主动脉旁体(副神经节)"
Zuckerkandl's organs,,[医] 祖克坎德耳氏器(嗜铬体)
Zuckerkandl's tubercles,,"[医] 祖克坎德耳氏结节, 咽扁桃体"
Zuckerkandl's vein,,"[医] 祖克坎德耳氏静脉, 脑鼻间静脉(脑与鼻静脉间的交通支)"
Zuckerkandl's veins,,"[医] 祖克坎德耳尔氏静脉, 脑鼻间静脉(脑与鼻静脉间的交通支)"
Zuckerman,,n. (Zuckerman)人名；(德)楚克曼；(英)朱克曼
zuckert,, [人名] 朱克特
zuckung,,[医] 收缩(电疗上的应用)
zug,,n. 楚格州（瑞士中部的州）；楚格（瑞士楚格州首府）；（德）火车
zug-zug,"A phrase used by the orcs in Warcraft, Warcraft 2, Warcraft 3. The phrase is used for yes yes.\n> Orc Soldier: Get to work!\n> Orc Peon: Zug-zug.\n",
Zugg my gogg,"1. Unintentional enunciation of ""Suck my cock"" spoken by a male in the throes of amorous passion, thus the guttural, heavy tone and pronunciation. The command or suggestion made by a male to his female partner, ""Suck my cock,"" as enunciated when lying on his back and feeling viscerally amorous. Often spoken when the male perceives he will be mounted and wishes to first be blown or, when making out, realizes his partner does not have blowing on her mind. (Research shows ""Zugg my gogg"" to be one of the most frequently spoken phrases during foreplay.)\n\n2. Unintentional enunciation of ""Suck my cock"" spoken by a male whose nose is markedly plugged up, often due to allergies, a cold, or the flu. The command or suggestion made by a nasally stuffed-up male to his female partner, ""Suck my cock,"" as enunciated when lying on his back and feeling viscerally amorous. Often spoken when the congested male perceives he will be mounted and wishes to first be blown or, when making out, realizes his partner does not have blowing on her mind. (Def. 2 is not as commonly recognized as Def. 1 and is less frequently spoken; some speculate this is due to the relatively low likelihood of a guy who is ailing from a cold, a sinus infection, or allergies requesting a blow from his partner.)\n> 1. He had been squeezing her ass for so long as she kissed his neck and stoked his cobb through his jeans that he finally could not stand it a moment longer and uttered, 'Zugg my gogg.'\n> 2. Though he had been laid up for days in bed with the flu, when Sarah came in and began to undress, bending to pick up her shoes off the floor, Craig, feeling intensely randy despite his illness, pleaded nasally to his wife, 'Ah yeah, zugg my gogg.'\n",
Zugsmith's sign,,[医] 祖格斯密斯氏征(胃癌和胃溃疡的一种体征)
Zugspitze,,祖格峰
Zugunruhe,,<德>n.(鸟类等的)迁徙兴奋
zugzwang,,n. 迫移
zui,,最（汉语拼音）
Zuica,,"珠伊卡酒(罗马尼亚产低酒度白兰地, 以野生李为原料, 酒度36°)"
zuidema,, [人名] 朱伊德马
Zuider Zee,,须德海（即荷兰艾瑟尔湖）
Zuidholland,,<荷兰语>=South Holland
zuk,,"ZUK是神奇工场旗下的智能终端品牌。ZUK崇尚直觉带给人的简单感受, 科技与艺术的完美融合。"
zukas,, [人名] 朱卡斯
Zukerman,,[网络] 祖克曼；扎克曼；朱克曼
Zuko,"Son of Firelord Ozai and Ursa, Prince Zuko was banished from the Fire Nation for speaking out of turn in the royal warroom. For this he was forced into an Agni Kai with his father, who gave him a huge scar on the left side of his face as a reminder of his ""shame"". He was then banished with his wise uncle Iroh and would not be allowed home until he caught the Avatar, and thus return his honour.  \r\nIn season 2 Zuko and Iroh become fugitives. Whilst Iroh just wants to start a new peaceful life, Zuko still yoyos between good and bad. A new persona is borne of this inner conflict - the Blue Spirit.\r\nWhen it finally seems Zuko has changed for the better he throws it all away to return to the Fire Nation with his evil sister Azula and claim his throne once again. \r\nSeason 3 sees Zuko still struggling between good and evil. Although he now has his throne back, he feels guilt and anger because it was through his fault that his uncle was thrown in prison. He eventually confronts his evil father and says that he is leaving to help the Avatar learn firebending. Ozai shoots lightening at his son, but through a lesson Iroh had taught him Zuko was able to redirect it. He escapes and follows Team Avatar to the Western Air Temple, where he offers to help teach Aang. Despite being ultimately rejected and attacked after his first attempt, the team eventually allows him to join, mostly thanks to Toph's support of him. However Katara doesn't trust him at all and at the end of ""The Western Air Temple"" gives Zuko a serious warning not to step out of line, or she will make sure his destiny ends permanently.\n> ""Hello, Zuko here. But I guess you probably already know me..sort of.. Uh..so..the thing is, I have alot of firebending experience, and I'm considered to be pretty good at it. Well you've seen me..you know, when I was attacking you?..Uh, yeah I guess I should apologize for that.. But anyway, I'm good now. I mean I thought I was good before but now I realize I was bad but anyway... I think it's time I joined your group and taught the avatar firebending.""   - Zuko (practise speech)\n> Katara: It could be Zuko. We haven't seen him since the North Pole.\n> Toph: Who's Zuko?\n> Sokka: Oh, just some angry freak with a ponytail who's tracked us all over the world.\n",
zukor,, [人名] 朱克
zula,, [地名] [厄立特里亚] 祖拉
zulauf,, [人名] 朱洛夫
Zuleika,,n. 朱莱卡(f.)
zuleta,, [人名] 朱利塔
zulfikar,,n. (Zulfikar)人名；(阿拉伯、巴基)佐勒菲卡尔
zulu,n. a member of the tall Negroid people of eastern South Africa; some live in KwaZulu-Natal under the traditional clan system but many now work in the cities\nn. a community of Negroid people in eastern South Africa\nn. a Bantu language of considerable literary importance in southeastern Africa,n. 祖鲁语；祖鲁人
zulueta,, [人名] 祖卢埃塔
Zululand,,"n. 祖鲁兰(南非地名, 旧时为祖鲁王国)"
zulus,"n. pl. The most important tribe belonging to the Kaffir race.\n   They inhabit a region on the southeast coast of Africa, but formerly\n   occupied a much more extensive country. They are noted for their\n   warlike disposition, courage, and military skill.",n. 祖鲁人（南非班图人的成员）( Zulu的名词复数 ); 祖鲁语
zum,,n. (Zum)人名；(西)苏姆；(希)朱姆
zuma,, 祖玛
zumaya,, [地名] [西班牙] 苏马亚
zumba,,n. 尊巴（舞）; 南美一种舞蹈; 最新引进了来自南美的健身舞蹈尊巴(Zumba); [地名] [厄瓜多尔] 孙巴
zumbo,, [地名] [莫桑比克] 宗博
zumbooruk,"n. A small cannon supported by a swiveled rest on the back\n   of a camel, whence it is fired, -- used in the East.",旋回炮
zumiez,"[poser] killer of the local mom and pop skate and snowboard shops that started the whole buisness in the beginning. banking on to the mainstream fashion and leeching into the heart of the youth subculture (they sell more to non skaters/riders than they do to riders/skaters).\n> Poser 1: Oh hey hey hey, check it out, Zumiez has the new Bam belt (and the snowboard from that company that's been out of buisness for years...what's it called? oh yeah m3.\n> Poser 2: Yeah, Bam is so bad ass.\n> Poser 1: Totaly.\n",
zumwalt,, [人名] 朱姆沃尔特
Zund-Burguet apparatus,,"[医] 宗-布二氏器, 电声器, 电助听训练器"
Zund-Burguet treatment,,[医] 宗-布二氏疗法(电声疗聋法)
zundel,, [人名] 曾德尔
zune,,"n. （品牌名, 微软开发的一款音乐播放器）"
zungenbecken,,冰川舌状盆地
zungite,,氟硅铝石
Zuni,n a member of the Pueblo people living in western New Mexico,"n. 祖尼语,(居住在新墨西哥的普韦布洛印地安人的)祖尼人"
zunian,,n. （语言）苏尼语系
zuniga,, [人名] 苏尼加
zunis,, [地名] [伊朗] 祖尼斯（佐努兹的旧称）
Zuntz's theory,,[医] 宗兹氏学说(肌收缩)
Zuntz-Geppert's respiration apparatus,,[医] 宗-格二氏呼吸仪器
Zunyi,,遵义[贵州省](旧译Tsunyi)
zunyite,n. A fluosilicate of alumina occurring in tetrahedral\n   crystals at the Zu/i mine in Colorado., 氯黄晶
zuoz,, [地名] [瑞士] 楚奥茨
zupack,,密封复合纸(方)盒(用萨冉-牛皮纸-聚乙烯复合纸热封而成)
zupan,, [人名] 朱潘
zuppa inglese,,n. <意>英式甜羹; 英式点心
zur,,abbr. Zurich 苏黎世; Zurigo (Italian=Zurich) （意大利语）苏黎世; Zurab 祖拉勃（男子名）; Zurr 祖尔（姓氏）
zurcher,, [人名] 泽克
zurek,,n. (Zurek)人名；(德)楚雷克
Zurich,n. the largest city in Switzerland; located in the northern part of the country,n. 苏黎士
zurick,, [人名] 祖里克
zurn,, [人名] 朱恩
zurs,-s form of zur,(zur 的第三人称 -s形式) abbr. Zurich 苏黎世; Zurigo (Italian=Zurich) （意大利语）苏黎世; Zurab 祖拉勃（男子名）; Zurr 祖尔（姓氏）
Zurvan,,[网络] 祖尔宛；祖以万；祖尔万
zus,n. evil storm god represented as a black bird,abbr. zusammen (German=together) （德语）一起
zusman,, [人名] 祖斯曼
zussman,, [人名] 祖斯曼
zussmanite,,n. [矿]菱硅钾铁石
zut,,abbr. Zutphen 札芬
zuta,, [电影]金发女郎
Zutara,"The pairing of Zuko and Katara on Nickelodeon's hit kid's program [Avatar:The Last Airbender]. Merits the largest fanbase in all of A:TLA shipping communities. Shippers of this particular pairing formulate arguments/discussions through the subtle forshadowing, parallels, and hints that occur in the show. Is currently, for the most part, a fanon ship, but Season Two's finale is hinting towards honest development of these two character's relationship.\r\n\r\n(This entry will be edited as the series progresses) \r\n\r\nInterferes with: [Kataang], [Maiko], [Karu], [Jettara], [Zujin], [Soko].\r\nUnaffected Ships: [Tophaang], [Teoph], [Kohla], [Maang], [Taang], [Ty Lokka]/[Tykka], [Tokka], [Yuokka], [Sukka],[Sokkai], [Sokkla] [Smellershot], [Azulet], [Zhaozula], [Jiroh], [Azulang], [LoRohLi], etc.\r\n\n> ""Dayum, that Zutara sure is popular!""\n> "" 'In the darkest times, hope is something you give yourself.' - Uncle Iroh ""\n",
Zutphen,,聚特芬
zuzu,,n. (Zuzu)人名；(罗)祖祖
zveno,,<俄>n.(苏联集体农庄或国营农场的)作业组
zvonareva,,n. 兹沃娜列娃全名：Vera Zvonareva 俄罗斯网球名将，北京奥运会女子网球单打铜牌得主。
zvornik,, [地名] [波斯尼亚和黑塞哥维那] 兹沃尔尼克
zw,,abbr. 津巴布韦（Zimbabwe）；一种自吸无堵塞排污泵
Zwanck's pessary,,[医] 阴道镭锭栓
zweben,, [人名] 兹韦本
zwei,,n. (Zwei)人名；(阿拉伯)扎维
zweifel,, [人名] 兹韦费尔
Zweig,n. Austrian writer (1881-1942),茨威格（人名）
Zwemer's test,,[医] 兹韦默氏试验(检阿狄森氏病人钾耐量)
Zwenger's test,,[医] 茨文格氏试验(检胆甾醇)
zwerdling,, [人名] 兹沃德林
zwick,, [人名] 兹维克
Zwickau,,茨维考[德意志民主共和国南部城市]
zwicker,, [人名] 兹维克
zwicky,, [人名] 兹维基
zwieback,n slice of sweet raised bread baked again until it is brown and hard and crisp,<德>n.烤干面包( 常用鸡蛋甜面包烤成的一种面包片)
zwieselite,,褐磷锰铁矿
zwilling,,n. 双立人，德国著名刀具品牌
zwinger,,保卫城市的要塞
Zwingli,n. Swiss theologian whose sermons began the Reformation in Switzerland (1484-1531),n. (Zwingli)人名；(德)茨温利
Zwinglian,,"a. (瑞士宗教改革家)茨温利的,茨温利教义的"
Zwinglianism,,n. 茨温利教义
zwischen-ferment,,[化] 间酶; 6-磷酸葡糖脱氢酶
zwischenferment,,"[医] 间酶, 6-磷酸葡萄糖脱氢酶"
zwischenkorper,,[医] 介体
zwischenscheibe,,"[医] Z盘, 克劳斯氏膜(横纹肌间线)"
zwither,,[德]云英岩
zwitter,,"[德]雌雄同体的动物, 雌雄两性花"
zwitter ion,,"[医] 两性离子, 兼性离子"
zwittergent,,两性洗涤剂
zwitterion,,n. 两性离子\n[化] 两性离子
zwitterion polymerization,,[化] 两性离子聚合
zwitterionic,,a. [化]两性离子的
zwitterionic compound,,[化] 两性离子化合物
zwitterionic detergent,,[化] 两性离子洗涤剂
zwitterionic surfactant,,[化] 两性离子表面活性剂
Zwolle,,n. 兹沃勒（荷兰的城市）
